aX,aY,aZ,gX,gY,gZ
0.032,-0.318,2.902,-50.964,15.320,27.466
0.019,-0.196,3.013,-57.800,35.645,33.508
0.011,-0.095,3.065,-63.354,54.138,34.729
-0.019,-0.033,3.030,-71.167,70.801,33.142
-0.078,-0.037,2.957,-87.097,87.524,28.870
-0.042,-0.139,2.859,-112.244,103.333,20.630
-0.136,-0.279,2.547,-139.648,119.690,10.071
-0.106,-0.367,2.397,-161.499,138.123,2.441
-0.220,-0.483,2.227,-161.621,132.690,1.709
-0.300,-0.520,2.033,-147.339,132.935,0.977
-0.393,-0.541,1.845,-134.155,144.104,-0.061
-0.436,-0.564,1.589,-138.733,150.208,-4.028
-0.385,-0.615,1.176,-164.429,154.175,-7.385
-0.431,-0.635,0.716,-194.092,156.128,-6.226
-0.539,-0.638,0.257,-205.872,151.123,-3.662
-0.652,-0.605,-0.171,-198.425,148.132,-4.700
-0.686,-0.590,-0.563,-177.551,146.729,-13.611
-0.653,-0.631,-0.932,-157.349,142.212,-25.574
-0.550,-0.652,-1.160,-145.874,130.554,-30.212
-0.492,-0.698,-1.440,-134.033,110.229,-28.259
-0.471,-0.718,-1.742,-113.464,91.187,-23.315
-0.452,-0.725,-1.965,-80.444,70.190,-13.062
-0.474,-0.688,-2.038,-43.091,42.053,-1.282
-0.454,-0.576,-1.955,-16.357,16.052,7.324
-0.397,-0.396,-1.982,-4.883,-2.625,10.864
-0.359,-0.173,-2.118,-6.714,-13.550,14.771
-0.374,0.003,-2.254,-11.230,-27.710,19.531
-0.358,0.109,-2.358,0.305,-44.678,18.066
