aX,aY,aZ,gX,gY,gZ
-0.061,0.232,-0.522,-226.624,119.751,227.661
-0.191,0.436,-0.678,-225.220,128.418,239.075
-0.288,0.609,-0.810,-224.426,120.850,236.755
-0.338,0.743,-0.932,-225.769,97.900,218.567
-0.365,0.803,-0.986,-226.685,63.782,188.293
-0.385,0.805,-0.960,-220.154,29.541,153.320
-0.363,0.715,-0.847,-203.674,11.658,119.202
-0.313,0.554,-0.776,-183.716,10.315,95.032
-0.239,0.482,-0.739,-172.241,25.024,85.327
-0.243,0.537,-0.801,-173.645,45.471,90.393
-0.330,0.676,-0.938,-180.298,63.416,107.605
-0.389,0.784,-1.115,-184.998,73.303,123.352
-0.418,0.922,-1.291,-188.721,70.862,126.953
-0.438,1.012,-1.404,-190.491,56.091,117.737
-0.397,1.022,-1.404,-184.265,38.818,94.604
-0.343,0.989,-1.424,-168.579,18.066,69.397
-0.230,0.871,-1.312,-150.574,3.357,50.232
-0.141,0.694,-1.182,-137.878,-1.221,28.015
-0.065,0.553,-1.060,-126.587,-5.798,7.446
-0.020,0.509,-0.971,-116.455,0.977,0.854
0.005,0.493,-0.943,-111.267,20.874,9.338
-0.016,0.553,-1.052,-114.197,39.063,27.588
-0.091,0.719,-1.213,-122.620,47.119,49.805
-0.173,0.872,-1.371,-126.282,47.546,64.026
-0.173,0.956,-1.521,-122.742,43.640,61.646
-0.112,0.978,-1.582,-114.380,33.569,45.776
-0.032,0.871,-1.552,-101.868,13.672,23.682
0.031,0.737,-1.416,-88.257,-10.193,4.028
0.048,0.659,-1.253,-77.271,-24.292,-4.639
0.034,0.651,-1.115,-68.054,-21.179,-2.869
-0.012,0.678,-1.037,-60.303,-9.033,4.456
-0.040,0.714,-1.029,-55.786,5.005,11.475
-0.040,0.738,-1.084,-55.481,15.808,15.320
-0.019,0.717,-1.134,-56.335,18.860,14.221
0.027,0.656,-1.188,-56.152,14.587,9.460
0.071,0.614,-1.205,-52.734,7.507,5.432
0.079,0.585,-1.160,-45.959,1.526,2.747
0.075,0.561,-1.087,-39.612,-3.357,0.366
0.073,0.539,-1.036,-36.560,-5.188,-0.977
0.073,0.514,-1.014,-35.828,-4.395,0.244
0.074,0.509,-1.012,-35.034,-3.113,4.028
0.059,0.513,-1.030,-34.668,-1.404,9.705
0.038,0.533,-1.066,-33.630,3.723,13.794
0.024,0.566,-1.147,-29.358,9.644,14.221
0.026,0.574,-1.123,-21.179,10.559,10.864
0.030,0.592,-1.111,-15.259,9.399,5.371
0.044,0.581,-1.075,-11.047,6.409,-0.488
0.053,0.550,-1.016,-9.888,-0.244,-3.845
0.054,0.515,-0.954,-9.155,-5.371,-4.944
0.052,0.481,-0.911,-9.338,-6.897,-5.188
0.060,0.460,-0.929,-10.620,-6.775,-4.211
0.050,0.473,-0.911,-11.841,-9.644,-1.892
0.034,0.483,-0.894,-13.611,-11.658,1.099
0.024,0.470,-0.890,-12.634,-10.742,3.235
0.030,0.464,-0.906,-8.789,-7.263,3.906
0.033,0.476,-0.928,-4.395,-4.272,4.272
0.038,0.480,-0.921,-1.831,-3.662,3.540
0.045,0.472,-0.911,-2.014,-4.761,2.319
0.044,0.476,-0.917,-3.601,-6.165,1.770
0.036,0.477,-0.908,-3.357,-6.042,1.709
0.040,0.472,-0.895,-2.258,-3.418,1.404
0.035,0.482,-0.907,-2.380,0.488,2.136
0.024,0.500,-0.934,-3.052,2.686,3.235
0.014,0.511,-0.943,-2.319,2.747,3.357
-0.215,0.970,-1.792,26.001,11.597,10.803
-0.289,1.026,-1.841,39.124,1.770,-1.038
-0.326,1.064,-1.902,53.040,-5.615,-14.526
-0.343,1.075,-1.956,67.200,-11.047,-28.442
-0.346,1.082,-2.004,80.078,-16.174,-41.077
-0.324,1.088,-2.050,91.125,-22.339,-51.270
-0.328,1.072,-2.080,101.685,-29.968,-59.509
-0.335,1.031,-2.088,114.258,-37.781,-66.772
-0.352,0.978,-2.069,129.028,-42.847,-70.984
-0.394,0.947,-2.047,143.555,-44.922,-74.280
-0.449,0.940,-2.017,157.104,-46.936,-79.590
-0.509,0.903,-1.957,169.434,-52.612,-89.722
-0.563,0.827,-1.866,178.833,-64.026,-104.004
-0.600,0.745,-1.765,185.059,-76.050,-119.995
-0.637,0.617,-1.667,189.636,-85.693,-136.963
-0.662,0.534,-1.569,193.848,-93.018,-153.381
-0.690,0.473,-1.485,199.097,-96.680,-168.152
-0.715,0.388,-1.378,205.139,-97.839,-184.204
-0.711,0.210,-1.337,210.449,-100.952,-202.393
-0.659,0.030,-1.281,215.088,-110.840,-217.773
-0.605,-0.119,-1.169,223.511,-126.526,-227.600
-0.572,-0.245,-1.018,235.596,-139.709,-233.765
-0.525,-0.326,-0.885,245.911,-147.888,-236.816
-0.455,-0.317,-0.768,251.404,-148.987,-235.596
-0.371,-0.331,-0.671,257.812,-143.738,-233.826
-0.293,-0.322,-0.602,263.855,-136.047,-233.154
-0.243,-0.322,-0.494,266.968,-132.446,-233.398
-0.194,-0.369,-0.380,270.386,-134.949,-236.328
-0.146,-0.442,-0.231,272.339,-141.113,-241.333
-0.064,-0.546,-0.081,271.729,-145.874,-244.751
0.075,-0.610,0.006,268.677,-142.090,-241.760
0.213,-0.569,0.045,260.376,-131.104,-229.614
0.267,-0.505,0.089,250.977,-119.934,-213.623
0.276,-0.458,0.101,247.864,-109.802,-200.195
0.258,-0.437,0.091,250.793,-97.412,-192.322
0.275,-0.495,0.087,255.615,-87.463,-190.979
0.317,-0.533,0.115,260.010,-85.388,-195.251
0.340,-0.567,0.114,265.808,-89.722,-199.524
0.301,-0.606,0.144,272.766,-96.558,-201.355
0.291,-0.762,0.267,283.936,-104.004,-204.346
0.341,-0.978,0.490,297.668,-110.107,-214.172
